species,count_year,how_many_cw,number_by_party_hours,flags
"Highland Tinamou
[Nothocercus bonapartei]","2010 [111]
Count Date: 12/30/2010
# Participants: 26
# Species Reported: 165
Total Hrs.: 53.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","2011 [112]
Count Date: 12/30/2011
# Participants: 24
# Species Reported: 160
Total Hrs.: 52.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","2012 [113]
Count Date: 12/30/2012
# Participants: 24
# Species Reported: 164
Total Hrs.: 69.50",,,
"Highland Tinamou
[Nothocercus bonapartei]","2013 [114]
Count Date: 12/30/2013
# Participants: 23
# Species Reported: 163
Total Hrs.: 45.00",1,0.0222,"US,"
"Highland Tinamou
[Nothocercus bonapartei]","2014 [115]
Count Date: 12/30/2014
# Participants: 29
# Species Reported: 212
Total Hrs.: 66.50",,,
"Highland Tinamou
[Nothocercus bonapartei]","2015 [116]
Count Date: 12/30/2015
# Participants: 25
# Species Reported: 210
Total Hrs.: 80.50",,,
"Highland Tinamou
[Nothocercus bonapartei]","2016 [117]
Count Date: 12/30/2016
# Participants: 13
# Species Reported: 171
Total Hrs.: 61.35",,,
"Highland Tinamou
[Nothocercus bonapartei]","2017 [118]
Count Date: 12/30/2017
# Participants: 38
# Species Reported: 227
Total Hrs.: 87.00",,,
"Highland Tinamou
[Nothocercus bonapartei]","2018 [119]
Count Date: 12/30/2018
# Participants: 33
# Species Reported: 205
Total Hrs.: 89.50",,,
"Highland Tinamou
[Nothocercus bonapartei]","2019 [120]
Count Date: 12/30/2019
# Participants: 16
# Species Reported: 222
Total Hrs.: 62.00",,,
"Great Tinamou
[Tinamus major]","2010 [111]
Count Date: 12/30/2010
# Participants: 26
# Species Reported: 165
Total Hrs.: 53.00",,,
"Great Tinamou
[Tinamus major]","2011 [112]
Count Date: 12/30/2011
# Participants: 24
# Species Reported: 160
Total Hrs.: 52.00",,,
"Great Tinamou
[Tinamus major]","2012 [113]
Count Date: 12/30/2012
# Participants: 24
# Species Reported: 164
Total Hrs.: 69.50",1,0.0144,
"Great Tinamou
[Tinamus major]","2013 [114]
Count Date: 12/30/2013
# Participants: 23
# Species Reported: 163
Total Hrs.: 45.00",2,0.0444,
"Great Tinamou
[Tinamus major]","2014 [115]
Count Date: 12/30/2014
# Participants: 29
# Species Reported: 212
Total Hrs.: 66.50",1,0.015,
"Great Tinamou
[Tinamus major]","2015 [116]
Count Date: 12/30/2015
# Participants: 25
# Species Reported: 210
Total Hrs.: 80.50",10,0.1242,
"Great Tinamou
[Tinamus major]","2016 [117]
Count Date: 12/30/2016
# Participants: 13
# Species Reported: 171
Total Hrs.: 61.35",,,
